"Prices of Select Food Items Per Kilogram and Litre, by Community and Region, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baffin,,,,,,,,,,,,,Kivalliq,,,,,,,Kitikmeot,,,,,Global Averages,,,,,,
,Cape Dorset,Hall Beach,Igloolik,Iqaluit,Kimmirut,Pangnirtung,Qikiqtarjuaq,Sanikiluaq,Arctic Bay,Clyde River,Resolute,Grise Fiord,Pond Inlet,Arviat,Baker Lake,Chesterfield Inlet,Coral Harbour,Rankin Inlet,Naujaat,Whale Cove,Cambridge Bay,Gjoa Haven,Kugaaruk,Kugluktuk,Taloyoak,Qikiqtaaluk,Kivalliq,Kitikmeot,Nunavut,,,
Item and Size(s)1,Per Kilogram ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grams of Items,Price of the item in Grams,ID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato Juice [540ml],6.65,6.09,6.09,6.61,6.65,6.65,6.39,9.06,18.13,15.09,…,…,17.57,8.87,11.94,8.69,6.46,…,6.09,…,5.72,8.50,…,…,13.87,9.54,8.41,9.36,9.22,,,2073181.00
Vegetable Juice [945ml-1L],…,6.07,12.20,9.22,10.89,7.12,6.62,8.35,7.66,11.36,8.46,…,6.46,5.95,7.32,…,7.95,…,5.95,…,…,7.58,…,…,11.76,8.58,6.79,9.67,8.29,,,2089573.00
Soft Drinks [355ml],5.51,6.61,8.85,6.75,6.62,6.61,7.44,6.90,6.03,7.30,9.83,5.63,5.63,5.32,6.55,7.30,7.34,6.51,7.82,6.76,6.07,7.48,12.65,6.45,7.24,6.90,6.80,7.98,7.09,,,2287712.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) Nunavut community prices are determined by calculating the average cost per kilogram or litre of an item from all ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"stores in a community. To allow for comparisons, only the size ranges in brackets were used to convert prices into ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a per kilogram or litre basis. Items are not separated by brand names.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) The Nunavut average is calculated by taking the average cost of all occurrences of an item in every community.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) Items included in this survey always use regular prices and do not take into account sale prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4) The food categories used in this report are based on the four food groups of the Nunavut Food Guide, except for the ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"miscellaneous items and liquids. For more information, refer to the Department of Health website at: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.livehealthy.gov.nu.ca/en/healthy-eating/nunavut-food-guide ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5) Prices in the 2016 Nunavut Food Price Survey were collected in March.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6) ... Data not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7) Data are preliminary and subject to revision.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: 2016 Nunavut Food Price Survey, Nunavut Bureau of Statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared By: The Nunavut Bureau of Statistics, October 4, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
